ID,person1ID,person2ID,startYearType,startYear,endYearType,endYear
100036843,10001794,10010734,AF/IN,1572,BF/IN,1617
100036846,10001794,10011163,AF/IN,1572,BF/IN,1635
100036849,10001794,10011681,AF/IN,1572,BF/IN,1625
100036851,10001794,10012493,AF/IN,1577,BF/IN,1635
100036854,10001795,10003279,AF/IN,1604,BF/IN,1658
100036857,10001795,10006076,AF/IN,1604,BF/IN,1658
100036860,10001795,10008222,AF/IN,1604,BF/IN,1658
100036863,10001795,10011582,AF/IN,1650,BF/IN,1658
100036865,10001795,10012693,AF/IN,1604,BF/IN,1641
100036868,10001796,10011270,AF/IN,1645,BF/IN,1646
100036871,10001797,10002030,AF/IN,1650,BF/IN,1663
100036874,10001797,10012890,AF/IN,1650,BF/IN,1690
100036876,10001798,10001937,AF/IN,1595,BF/IN,1644
100036879,10001798,10004436,AF/IN,1565,BF/IN,1634
100036882,10001798,10006477,AF/IN,1571,BF/IN,1642
100020003,10000960,10002546,AF/IN,1599,BF/IN,1614
100020004,10000960,10002920,AF/IN,1599,BF/IN,1614
100020006,10000960,10005483,AF/IN,1599,BF/IN,1614
100020008,10000960,10006431,AF/IN,1599,BF/IN,1606
100020010,10000960,10006436,AF/IN,1599,BF/IN,1614
100020011,10000960,10006923,AF/IN,1599,BF/IN,1614
100020013,10000960,10007403,AF/IN,1599,BF/IN,1614
100020015,10000960,10008488,AF/IN,1599,BF/IN,1614
100020016,10000960,10008522,AF/IN,1599,BF/IN,1602
100020018,10000960,10009710,AF/IN,1599,BF/IN,1614
100020019,10000960,10010130,AF/IN,1599,BF/IN,1614
100020024,10000960,10012967,AF/IN,1599,BF/IN,1614
100020025,10000960,10013232,AF/IN,1599,BF/IN,1614
100020026,10000961,10003336,AF/IN,1670,BF/IN,1689
100020029,10000961,10007186,AF/IN,1684,BF/IN,1750
100020030,10000961,10008570,AF/IN,1688,BF/IN,1750
100020032,10000961,10010851,AF/IN,1693,BF/IN,1750
100020033,10000961,10011217,AF/IN,1670,BF/IN,1727
100020036,10000961,10012056,AF/IN,1670,BF/IN,1716
100020037,10000961,10012428,AF/IN,1684,BF/IN,1750
100020038,10000961,10013009,AF/IN,1670,BF/IN,1703
100020040,10000962,10004527,AF/IN,1693,BF/IN,1707
100020041,10000962,10005204,AF/IN,1641,BF/IN,1707
100020044,10000962,10011065,AF/IN,1658,BF/IN,1701
100020045,10000962,10011066,AF/IN,1657,BF/IN,1707
100020046,10000962,10011995,AF/IN,1662,BF/IN,1707
100020048,10000963,10001067,AF/IN,1546,BF/IN,1616
100020050,10000963,10002249,AF/IN,1563,BF/IN,1612
100020052,10000963,10002253,AF/IN,1591,BF/IN,1617
100020053,10000963,10002279,AF/IN,1553,BF/IN,1617
100020055,10000963,10002889,AF/IN,1545,BF/IN,1615
100020057,10000963,10003360,AF/IN,1605,BF/IN,1617
100020058,10000963,10004613,AF/IN,1607,BF/IN,1617
100020060,10000963,10009712,AF/IN,1573,BF/IN,1617
100020061,10000963,10011681,AF/IN,1566,BF/IN,1617
100020064,10000963,10012775,AF/IN,1562,BF/IN,1617
100020065,10000963,10012827,AF/IN,1530,BF/IN,1604
100020066,10000964,10001097,AF/IN,1577,BF/IN,1668
100020068,10000964,10001962,AF/IN,1577,BF/IN,1623
100020069,10000964,10002796,AF/IN,1577,BF/IN,1594
100020079,10000964,10009947,AF/IN,1577,BF/IN,1658
100020080,10000964,10010595,AF/IN,1577,BF/IN,1652
100020081,10000964,10011681,AF/IN,1577,BF/IN,1625
100020082,10000964,10012590,AF/IN,1577,BF/IN,1584
100020083,10000964,10012738,AF/IN,1659,BF/IN,1685
