ID,person1ID,person2ID,startYearType,startYear,endYearType,endYear
100088700,10004303,10004792,AF/IN,1512,BF/IN,1580
100088704,10004303,10005213,AF/IN,1547,BF/IN,1580
100088708,10004303,10005870,AF/IN,1532,BF/IN,1580
100088711,10004303,10006278,AF/IN,1538,BF/IN,1572
100088712,10004303,10006279,AF/IN,1561,BF/IN,1580
100088715,10004303,10007527,AF/IN,1545,BF/IN,1580
100088717,10004303,10007672,AF/IN,1533,BF/IN,1580
100088720,10004303,10007989,AF/IN,1515,BF/IN,1555
100088723,10004303,10008478,AF/IN,1512,BF/IN,1552
100088724,10004303,10009143,AF/IN,1527,BF/IN,1571
100088730,10004303,10010057,AF/IN,1533,BF/IN,1580
100088734,10004303,10010780,AF/IN,1512,BF/IN,1580
100088737,10004303,10010937,AF/IN,1564,BF/IN,1580
100088741,10004303,10011708,AF/IN,1538,BF/IN,1580
100088744,10004303,10011900,AF/IN,1512,BF/IN,1558
100088747,10004303,10012117,AF/IN,1533,BF/IN,1580
100088751,10004303,10012199,AF/IN,1545,BF/IN,1580
100088752,10004303,10012746,AF/IN,1512,BF/IN,1568
100088755,10004303,10012999,AF/IN,1512,BF/IN,1539
100088758,10004303,10013163,AF/IN,1545,BF/IN,1580
100088762,10004304,10005212,AF/IN,1517,BF/IN,1544
100088765,10004304,10009246,AF/IN,1505,BF/IN,1544
100088769,10004304,10012118,AF/IN,1476,BF/IN,1509
100088772,10004305,10009165,AF/IN,1657,BF/IN,1680
100088775,10004306,10004397,AF/IN,1579,BF/IN,1625
100088779,10004306,10008271,AF/IN,1562,BF/IN,1639
100088782,10004306,10009575,AF/IN,1579,BF/IN,1639
100088786,10004306,10010937,AF/IN,1564,BF/IN,1616
100088789,10004306,10012634,AF/IN,1578,BF/IN,1638
100088793,10004307,10006720,AF/IN,1575,BF/IN,1637
100088794,10004307,10008213,AF/IN,1575,BF/IN,1638
100088797,10004307,10008706,AF/IN,1575,BF/IN,1601
100088802,10004307,10011609,AF/IN,1575,BF/IN,1604
100088805,10004307,10012272,AF/IN,1575,BF/IN,1638
100088806,10004308,10004311,AF/IN,1514,BF/IN,1534
100088810,10004308,10004379,AF/IN,1533,BF/IN,1548
100088814,10004308,10005219,AF/IN,1514,BF/IN,1541
100088817,10004308,10005288,AF/IN,1514,BF/IN,1532
100088822,10004308,10007371,AF/IN,1514,BF/IN,1548
100088825,10004308,10009023,AF/IN,1514,BF/IN,1548
100088830,10004308,10011465,AF/IN,1547,BF/IN,1548
100088833,10004308,10012122,AF/IN,1516,BF/IN,1548
100088834,10004308,10012992,AF/IN,1514,BF/IN,1548
100088837,10004308,10013182,AF/IN,1521,BF/IN,1548
100088842,10004309,10010108,AF/IN,1612,BF/IN,1635
100088845,10004309,10011681,AF/IN,1612,BF/IN,1625
100088850,10004310,10004356,AF/IN,1503,BF/IN,1513
100088853,10004310,10007371,AF/IN,1487,BF/IN,1513
100088854,10004310,10007747,AF/IN,1456,BF/IN,1513
100088858,10004310,10009447,AF/IN,1456,BF/IN,1507
100088859,10004310,10009896,AF/IN,1459,BF/IN,1513
100088862,10004310,10011417,AF/IN,1456,BF/IN,1513
100088867,10004311,10004324,AF/IN,1513,BF/IN,1534
100088870,10004311,10004478,AF/IN,1487,BF/IN,1534
100088871,10004311,10005219,AF/IN,1490,BF/IN,1534
100088875,10004311,10007747,AF/IN,1487,BF/IN,1534
100088879,10004311,10009008,AF/IN,1505,BF/IN,1534
100088882,10004311,10009049,AF/IN,1487,BF/IN,1534
100088883,10004311,10009056,AF/IN,1530,BF/IN,1534
100088890,10004311,10012118,AF/IN,1487,BF/IN,1509
100088895,10004311,10013286,AF/IN,1487,BF/IN,1503
100088898,10004312,10004335,AF/IN,1551,BF/IN,1585
100088899,10004312,10004336,AF/IN,1525,BF/IN,1585
100088902,10004312,10004478,AF/IN,1525,BF/IN,1539
100088907,10004312,10005224,AF/IN,1525,BF/IN,1530
100088908,10004312,10005505,AF/IN,1527,BF/IN,1585
100088914,10004312,10006952,AF/IN,1557,BF/IN,1585
100088918,10004312,10007371,AF/IN,1525,BF/IN,1577
100088919,10004312,10007747,AF/IN,1525,BF/IN,1536
100088923,10004312,10008287,AF/IN,1525,BF/IN,1585
100088924,10004312,10008706,AF/IN,1567,BF/IN,1585
100088927,10004312,10008944,AF/IN,1544,BF/IN,1585
100088933,10004312,10009004,AF/IN,1525,BF/IN,1532
100088936,10004312,10009018,AF/IN,1525,BF/IN,1566
100088940,10004312,10009049,AF/IN,1525,BF/IN,1559
100088942,10004312,10009491,AF/IN,1525,BF/IN,1585
100088944,10004312,10009799,AF/IN,1525,BF/IN,1558
100088947,10004312,10011146,AF/IN,1525,BF/IN,1535
100088952,10004312,10012116,AF/IN,1537,BF/IN,1553
100088955,10004312,10012122,AF/IN,1525,BF/IN,1558
100088960,10004312,10013079,AF/IN,1525,BF/IN,1530
100088963,10004316,10004324,AF/IN,1513,BF/IN,1537
100088964,10004316,10005219,AF/IN,1490,BF/IN,1540
100088967,10004318,10010388,AF/IN,1581,BF/IN,1608
100088972,10004319,10007765,AF/IN,1540,BF/IN,1565
100088975,10004319,10009046,AF/IN,1577,BF/IN,1582
100088980,10004319,10011419,AF/IN,1540,BF/IN,1582
100088983,10004320,10004352,AF/IN,1526,BF/IN,1589
100088984,10004320,10009583,AF/IN,1528,BF/IN,1589
100088987,10004322,10008553,AF/IN,1565,BF/IN,1604
100088988,10004322,10009357,AF/IN,1525,BF/IN,1604
100088989,10004322,10010078,AF/IN,1586,BF/IN,1604
100088992,10004324,10004478,AF/IN,1513,BF/IN,1537
100088997,10004324,10006277,AF/IN,1513,BF/IN,1537
100089001,10004324,10008592,AF/IN,1513,BF/IN,1537
100089005,10004324,10008992,AF/IN,1513,BF/IN,1537
100089007,10004324,10008996,AF/IN,1514,BF/IN,1537
100089009,10004324,10009003,AF/IN,1513,BF/IN,1537
100089012,10004324,10009441,AF/IN,1513,BF/IN,1537
100089017,10004324,10011104,AF/IN,1513,BF/IN,1534
100089020,10004324,10011418,AF/IN,1513,BF/IN,1537
100089025,10004324,10012119,AF/IN,1513,BF/IN,1537
100089029,10004326,10005437,AF/IN,1666,BF/IN,1681
100089032,10004326,10005654,AF/IN,1650,BF/IN,1681
100089035,10004326,10005825,AF/IN,1648,BF/IN,1681
100089037,10004326,10005847,AF/IN,1657,BF/IN,1681
100089040,10004326,10006284,AF/IN,1630,BF/IN,1681
100089045,10004326,10006718,AF/IN,1630,BF/IN,1681
100089048,10004326,10007593,AF/IN,1639,BF/IN,1681
100089052,10004326,10008900,AF/IN,1637,BF/IN,1681
100089053,10004326,10008907,AF/IN,1651,BF/IN,1681
100089054,10004326,10009069,AF/IN,1649,BF/IN,1681
100089057,10004326,10009508,AF/IN,1624,BF/IN,1681
100089062,10004326,10009812,AF/IN,1632,BF/IN,1681
100089066,10004326,10011246,AF/IN,1638,BF/IN,1681
100089070,10004326,10012065,AF/IN,1644,BF/IN,1681
100089074,10004326,10012464,AF/IN,1639,BF/IN,1681
100089077,10004326,10013002,AF/IN,1634,BF/IN,1681
100089079,10004327,10004332,AF/IN,1470,BF/IN,1538
100089082,10004327,10005089,AF/IN,1511,BF/IN,1538
100089085,10004327,10008475,AF/IN,1478,BF/IN,1535
100089090,10004327,10010116,AF/IN,1475,BF/IN,1536
100089094,10004327,10010988,AF/IN,1478,BF/IN,1538
100089097,10004327,10012118,AF/IN,1470,BF/IN,1509
100089098,10004327,10012119,AF/IN,1491,BF/IN,1538
100089100,10004327,10013079,AF/IN,1470,BF/IN,1530
100089105,10004328,10011448,AF/IN,1550,BF/IN,1612
100089110,10004329,10006800,AF/IN,1561,BF/IN,1640
100089113,10004329,10008500,AF/IN,1552,BF/IN,1595
100089117,10004329,10009794,AF/IN,1552,BF/IN,1568
100089118,10004329,10010108,AF/IN,1605,BF/IN,1635
100089119,10004329,10011050,AF/IN,1589,BF/IN,1633
100089122,10004329,10011428,AF/IN,1600,BF/IN,1636
100089127,10004329,10013126,AF/IN,1552,BF/IN,1626
100089131,10004331,10005368,AF/IN,1670,BF/IN,1695
100089135,10004331,10005756,AF/IN,1678,BF/IN,1734
100089139,10004331,10006459,AF/IN,1670,BF/IN,1727
