ID,person1ID,person2ID,startYearType,startYear,endYearType,endYear
100136333,10007765,10009023,AF/IN,1455,BF/IN,1563
100136345,10007765,10011552,AF/IN,1512,BF/IN,1542
100136364,10007767,10010467,AF/IN,1656,BF/IN,1710
100136366,10007768,10007801,AF/IN,1614,BF/IN,1692
100136374,10007769,10009926,AF/IN,1615,BF/IN,1655
100136385,10007771,10010023,AF/IN,1603,BF/IN,1649
100136389,10007771,10012356,AF/IN,1629,BF/IN,1648
100136394,10007771,10012817,AF/IN,1605,BF/IN,1649
100136411,10007773,10009050,AF/IN,1612,BF/IN,1664
100136420,10007774,10007860,AF/IN,1631,BF/IN,1683
100136432,10007775,10009583,AF/IN,1528,BF/IN,1590
100136451,10007778,10011414,AF/IN,1598,BF/IN,1666
100136453,10007778,10011671,AF/IN,1630,BF/IN,1666
100136465,10007780,10011669,AF/IN,1622,BF/IN,1645
100136467,10007780,10011671,AF/IN,1630,BF/IN,1685
100136480,10007784,10008193,AF/IN,1553,BF/IN,1617
100136484,10007784,10008651,AF/IN,1553,BF/IN,1655
100136493,10007784,10011554,AF/IN,1553,BF/IN,1570
100136500,10007790,10012118,AF/IN,1457,BF/IN,1509
100136524,10007795,10012123,AF/IN,1585,BF/IN,1602
100136525,10007795,10012827,AF/IN,1585,BF/IN,1604
100136545,10007797,10012116,AF/IN,1537,BF/IN,1553
100136563,10007798,10010942,AF/IN,1640,BF/IN,1666
100136564,10007798,10011557,AF/IN,1640,BF/IN,1666
100136584,10007800,10012217,AF/IN,1591,BF/IN,1649
100136589,10007801,10007816,AF/IN,1630,BF/IN,1692
100136596,10007801,10008852,AF/IN,1610,BF/IN,1688
100136608,10007801,10013308,AF/IN,1650,BF/IN,1692
100136614,10007803,10007826,AF/IN,1621,BF/IN,1707
100136628,10007805,10007966,AF/IN,1609,BF/IN,1633
100136630,10007805,10009026,AF/IN,1597,BF/IN,1608
100136649,10007807,10008029,AF/IN,1630,BF/IN,1714
100136654,10007807,10008371,AF/IN,1630,BF/IN,1698
100136660,10007807,10010584,AF/IN,1630,BF/IN,1700
100136666,10007807,10011671,AF/IN,1630,BF/IN,1685
100136681,10007808,10008449,AF/IN,1636,BF/IN,1673
100136684,10007808,10008852,AF/IN,1636,BF/IN,1688
100136714,10007809,10011671,AF/IN,1669,BF/IN,1685
100136718,10007810,10007856,AF/IN,1697,BF/IN,1759
100136719,10007810,10008159,AF/IN,1682,BF/IN,1754
100136740,10007813,10009097,AF/IN,1595,BF/IN,1611
100136751,10007815,10007816,AF/IN,1661,BF/IN,1701
100136758,10007815,10012863,AF/IN,1661,BF/IN,1701
100136779,10007818,10012600,AF/IN,1688,BF/IN,1744
100136784,10007821,10008266,AF/IN,1639,BF/IN,1674
100136786,10007822,10011552,AF/IN,1521,BF/IN,1542
100136805,10007825,10007941,AF/IN,1667,BF/IN,1723
100136816,10007826,10008802,AF/IN,1619,BF/IN,1708
100136823,10007826,10010601,AF/IN,1643,BF/IN,1706
100136838,10007826,10011774,AF/IN,1660,BF/IN,1718
100136844,10007826,10012742,AF/IN,1664,BF/IN,1695
100136849,10007829,10007830,AF/IN,1698,BF/IN,1746
100136850,10007829,10008372,AF/IN,1698,BF/IN,1746
100136870,10007832,10011128,AF/IN,1586,BF/IN,1666
100136877,10007835,10008413,AF/IN,1626,BF/IN,1639
100136888,10007840,10011570,AF/IN,1516,BF/IN,1506
100136896,10007842,10009055,AF/IN,1600,BF/IN,1649
100136905,10007850,10011954,AF/IN,1684,BF/IN,1734
100136914,10007854,10011681,AF/IN,1574,BF/IN,1625
100136917,10007856,10010687,AF/IN,1697,BF/IN,1759
100136932,10007858,10011517,AF/IN,1666,BF/IN,1727
100136953,10007859,10012353,AF/IN,1640,BF/IN,1709
100136954,10007859,10012696,AF/IN,1640,BF/IN,1712
100136959,10007859,10013308,AF/IN,1650,BF/IN,1702
100136960,10007860,10009053,AF/IN,1623,BF/IN,1660
100136979,10007863,10011856,AF/IN,1490,BF/IN,1543
100136994,10007865,10009389,AF/IN,1612,BF/IN,1645
100137000,10007866,10009018,AF/IN,1490,BF/IN,1566
100137018,10007868,10009924,AF/IN,1568,BF/IN,1598
100137021,10007868,10010332,AF/IN,1573,BF/IN,1625
100137022,10007868,10010333,AF/IN,1576,BF/IN,1610
100137033,10007871,10012271,AF/IN,1586,BF/IN,1649
100137044,10007873,10008785,AF/IN,1589,BF/IN,1610
100137065,10007876,10011913,AF/IN,1623,BF/IN,1678
100137070,10007877,10011549,AF/IN,1473,BF/IN,1513
100137083,10007879,10009420,AF/IN,1620,BF/IN,1691
