ID,ODNB_ID,displayName,prefix,firstName,lastName,suffix,title,gender,birthYearType,birthYear,deathYearType,deathYear
10007455,16716,Sir Walter Lindsay of Balgavie,Sir,Walter,Lindsay,of Balgavie,,male,AF,1495,IN,1605
10008232,18631,Sir Paul Methuen,Sir,Paul,Methuen,,,male,IN,1672,IN,1757
10006976,15662,George Kirke,,George,Kirke,,,male,IN,1600,IN,1675
10001509,3327,Roger Brereley,,Roger,Brereley,,,male,IN,1586,IN,1637
10009740,22331,Moses Pitt,,Moses,Pitt,,,male,IN,1639,IN,1697
10004328,9604,Nicholas Fitzherbert,,Nicholas,Fitzherbert,,,male,IN,1550,IN,1612
10001989,4482,Colin Campbell,,Colin,Campbell,,,male,AF,1419,IN,1529
10012760,29198,George Whetstone,,George,Whetstone,,,male,IN,1550,IN,1587
10010085,23075,Sir Andrew Ramsay of Abbotshall and Waughton,Sir,Andrew,Ramsay,of Abbotshall and Waughton,,male,CA,1620,IN,1688
10002221,4935,Henry Cavendish,,Henry,Cavendish,,,male,IN,1550,IN,1616
10009018,20550,Calvagh O'Donnell,,Calvagh,O'Donnell,,,male,AF,1456,IN,1566
10012941,29589,Timothy Willis,,Timothy,Willis,,,male,IN,1560,AF/IN,1620
10007448,16706,John Lindsay,,John,Lindsay,,,male,IN,1596,IN,1678
10006960,67965,William Kinloch,,William,Kinloch,,,male,BF,1582,AF,1582
10009713,22241,Oliver Pigg,,Oliver,Pigg,,,male,CA,1550,AF/IN,1591
10011269,73535,Thomas Smyth,,Thomas,Smyth,,,male,IN,1609,IN,1642
10000013,8,Robert Abbot,,Robert,Abbot,,,male,IN,1559,IN,1618
10001152,2583,Thomas Blake,,Thomas,Blake,,,male,IN,1596,IN,1657
10006464,14381,John Inett,,John,Inett,,,male,IN,1646,IN,1718
10004617,10240,William Fuller,,William,Fuller,,,male,IN,1608,IN,1675
10006502,66527,John Ivie,,John,Ivie,,,male,IN,1580,IN,1665
10006517,14552,Thomas Jackson,,Thomas,Jackson,,,male,IN,1570,IN,1646
10009113,20677,Anne Oldfield,,Anne,Oldfield,,,female,IN,1683,IN,1730
10004878,10796,Henry Glapthorne,,Henry,Glapthorne,,,male,IN,1610,BF,1720
10008270,18681,Richard Middleton,,Richard,Middleton,,,male,AF,1531,IN,1641
10000012,7,Sir Maurice Abbot,Sir,Maurice,Abbot,,,male,IN,1565,IN,1642
10007948,18010,Cosmo Manuche,,Cosmo,Manuche,,,male,IN,1613,CA,1673
10011348,67747,Charles Speke,,Charles,Speke,,,male,AF,1575,IN,1685
10002259,5010,Laurence Chaderton,,Laurence,Chaderton,,,male,CA,1536,IN,1640
10007501,16805,George Livingstone,,George,Livingstone,,,male,IN,1652,IN,1695
10005127,11305,John Gratton,,John,Gratton,,,male,IN,1642,IN,1712
10010266,23537,Nathanael Richards,,Nathanael,Richards,,,male,IN,1630,IN,1660
10009175,53605,Sir Adolphus Oughton,Sir,Adolphus,Oughton,,,male,IN,1684,IN,1736
10012856,29360,William Widdrington,,William,Widdrington,,,male,IN,1677,IN,1743
10000489,71698,Edward Baeshe,,Edward,Baeshe,,,male,IN,1507,IN,1587
10013022,29779,John Winthrop,,John,Winthrop,,,male,IN,1606,IN,1676
10013239,30231,Walter Yonge,,Walter,Yonge,,,male,IN,1579,IN,1649
10005247,11601,Matthew Griffith,,Matthew,Griffith,,,male,BF/IN,1599,IN,1665
10011059,37955,John Shore,,John,Shore,,,male,IN,1662,IN,1752
10006107,57083,William Holstocke,,William,Holstocke,,,male,AF,1479,IN,1589
10009348,21390,Thomas Parnell,,Thomas,Parnell,,,male,IN,1679,IN,1718
10001899,4260,Robert Bylot,,Robert,Bylot,,,male,IN,1610,IN,1616
10005311,11787,Henry Guthrie,,Henry,Guthrie,,,male,CA,1600,IN,1676
10011208,64377,James Smith,,James,Smith,,,male,IN,1680,IN,1736
10002907,6472,William Covell,,William,Covell,,,male,AF,1503,IN,1613
